start,end,text
18.42,22.74,Si un jour il m'arrivait de te parler de l'abandon
23.11,27.63,De tous ces souvenirs usés et tant de mauvaises raisons
27.79,32.13,Mais je n'culpabiliserais pas de grandir d'une autre façon
32.46,36.75,"Sans féerie de carton-pâte, sans anecdote de vieux chiffon"
37.11,39.42,Ces extra rires dans toutes ces dunes
39.42,41.58,Qui me font rester dans la lune
41.74,43.72,"Pour ça, j'ai toujours été là"
44.03,45.98,Ne me demande pas pourquoi
54.50,58.91,Est-ce qu'à mon tour on m'pardonnerait de n'pas être un bon garçon
59.17,63.62,"Avec personne pour m'engueuler, avec toutes mes questions"
63.86,68.31,Comme toi qu'j'ai peut être mal aimé ou alors de cette autre façon
68.54,73.02,Qui laisse les gens si effacés partant de si bonnes intentions
73.18,75.29,Ces extra rires dans toutes ces dunes
75.55,77.82,Qui me tiennent là-haut dans la lune
77.82,79.83,"Pour ça, j'ai toujours été là"
80.17,82.14,Ne me demande pas pourquoi
82.55,84.74,"Mais plus ça va, plus ça empire"
84.86,87.01,Même quand il n'y a plus rien à dire
87.19,89.17,"En tout cas, il faut qu'j'compte sur moi"
89.50,91.43,Je n'te dirai pas pourquoi
116.25,120.71,Toi et moi on n'se connaît plus comme une légère petite impression
120.97,125.31,D'avoir légèrement tout perdu dans un flot de contrefaçons
125.59,130.10,Mais la vie est bien trop courte pour avoir la main légère
130.81,134.82,Avec ou sans trop d'amour je ne vous détesterai guère
134.82,139.77,"Il paraîtrait qu'au petit jour, ma ville serait plein de nuances"
140.12,144.22,"À cette heure-ci, elle est trop floue et ne manque pas de non-sens"
144.22,146.44,Ces extra rires dans toutes ces dunes
146.59,148.73,Qui me tiennent là-haut dans la lune
148.86,151.11,"Pour ça, j'ai toujours été là"
151.27,153.41,Ne me demande pas pourquoi
153.53,155.87,"Mais plus ça va, plus ça empire"
155.87,158.05,Même quand il n'y a plus rien à dire
158.27,160.30,"En tout cas, il faut qu'j'compte sur moi"
160.52,162.74,Je n'te dirai pas pourquoi
162.91,165.17,Maintenant il faut que j'me rendorme
165.17,167.24,En croyant rester dans les normes
167.54,169.71,Mais cela ne m'regarde pas
169.88,171.85,Allez savoir pourquoi
171.85,176.88,"<nl> Ah-ah, oh-oh, oh-oh, oh-oh-oh </nl>"
177.58,181.49,"<nl> Oh-oh, </nl> ne me demande pas pourquoi"
182.31,186.39,"<nl> Oh-oh, oh-oh, oh-oh-oh </nl>"
186.96,190.94,"<nl> Oh-oh, </nl> je n'te dirai pas pourquoi"
