start,end,text
26.06,30.28,Con dos palabras quiero decirte
30.53,34.54,Lo que entristece a mi corazón
34.93,38.96,Por no escucharlas cuando era niño
39.30,43.36,"Por no escucharlas, ni percibirlo"
43.62,47.66,Solo las digo vueltas canción
50.19,54.32,Y la tristeza de la que hablo
54.56,58.63,Venía cargada con depresión
58.91,62.98,Cuando creí que tocaba el fondo
63.26,67.35,Dios ha llegado en forma de amor
67.66,71.72,Con el regalo de tu presencia
72.02,76.18,Y de mi vida eres la razón
76.93,85.57,"Te amo, te amo, te amo"
111.30,115.34,Y la alegría que estoy sintiendo
115.65,119.74,Es sentimiento vuelto expresión
120.00,124.19,Por inspirarme el pronunciarlas
124.37,128.28,"Una y mil veces gracias, mi amor"
129.30,132.90,«Te amo» son dos palabras
133.10,137.22,Que brotan llanas en la expresión
137.46,141.59,Pero al decirlas con toda el alma
141.83,145.72,El sentimiento les da valor
146.75,150.32,«Te amo» son dos palabras
150.54,154.72,Que al pronunciarlas me acerca a Dios
154.93,159.02,Por no decirlas en su momento
159.27,163.43,Una y mil veces pido perdón
164.20,167.77,«Te amo» son dos palabras
168.01,172.15,Que al pronunciarlas me acerca a Dios
172.38,176.40,Por inspirarme lo que yo siento
176.74,180.63,"Una y mil veces gracias, mi amor"
181.66,190.84,"Te amo, te amo, te amo"
