start,end,text
1.06,2.60,"Óyeme, tiburón"
5.74,8.89,Ya sé lo que tú quieres
9.40,11.89,No hay razón por cual
12.27,16.17,"Tiburón, lo que quieres, ya lo sé"
16.44,20.08,"Tiburón, lo que quieres, ya lo sé"
21.94,24.40,Todo estaba bien ese día
24.80,28.75,Y yo gozando bajo el sol
28.98,32.31,Me duele tanto este dolor
33.10,37.03,"Tiburón, lo que quieres, ya lo sé"
37.29,41.22,"Tiburón, lo que quieres, ya lo sé"
41.48,44.36,La' gente' ya se fueron
44.64,51.89,Y ya yo no sé lo que hacer
52.55,54.80,"Óyeme, tiburón"
56.35,60.50,No hay razón por cual
60.92,63.57,"Óyeme, tiburón"
64.42,68.39,"Tiburón, lo que quieres, ya lo sé"
69.25,71.49,"Óyeme, tiburón"
72.80,76.33,La' gente' ya se fueron
77.63,80.36,"Óyeme, tiburón"
81.09,85.30,"Tiburón, lo que quieres, ya lo sé"
86.62,88.33,"Óyeme, tiburón"
91.31,94.42,Ya sé lo que tú quieres
94.99,97.57,No hay razón por cual
97.83,101.72,"Tiburón, lo que quieres, ya lo sé"
101.99,106.07,"Tiburón, lo que quieres, ya lo sé"
107.53,109.99,Todo estaba bien ese día
110.36,114.36,Y yo gozando en el mar
114.54,117.94,Me duele tanto recordar
118.64,122.64,"Tiburón, lo que quieres, ya lo sé"
122.84,126.78,"Tiburón, lo que quieres, ya lo sé"
127.05,129.93,La' gente' ya se fueron
130.20,137.57,Y ya yo no sé lo que hacer
138.10,140.65,"Óyeme, tiburón"
141.91,146.20,No hay razón por cual
146.49,148.88,"Óyeme, tiburón"
149.98,154.16,"Tiburón, lo que quieres, ya lo sé"
154.81,157.41,"Óyeme, tiburón"
158.36,162.02,La' gente' ya se fueron
163.18,165.86,"Óyeme, tiburón"
166.69,170.63,"Tiburón, lo que quieres, ya lo sé"
170.90,175.01,"Tiburón, lo que quieres, ya lo sé"
